id,created_at,text
1360268149728419841,2021-02-12 16:42:54,"RT @wrps_inclusion: Happy Lunar New Year! Happy Chinese New Year! 

Lots of virtual celebrations across the Region this year to partake in,…"
1360251454271991808,2021-02-12 15:36:33,❤️❤️❤️ https://t.co/eivSkEBgid
1360222625415516164,2021-02-12 13:42:00,"Happy #ChineseNewYear !

🏮 Take part in our Chinese New Year Play Anytime Challenge with your family at… https://t.co/YI090mEINU"
1359976515946037253,2021-02-11 21:24:03,"Don't miss Dr. Jade Ferguson's talk ""Local Roots"" happening Sat. Feb 20 at 7pm. Register at: https://t.co/fiUHK5f1RT https://t.co/Fpwutbi93R"
1359970467956875270,2021-02-11 21:00:01,WPL blogger Jackie M. rediscovered her love for poetry over the past few years and would like to encourage you to s… https://t.co/rf1e1a9Bxx
1359919128748908546,2021-02-11 17:36:01,"@waiteshere108 @uptownwaterloo @BallCon2 @WalterFedy @citywaterloo No, unfortunately. The balcony facing Dupont Str… https://t.co/zwTolr0apX"
1359911575767949312,2021-02-11 17:06:00,"Join Kitchener-based food writer and columnist, @cardamomaddict as she discusses Keralite cooking &amp; history. You'll… https://t.co/bZrri0vNMK"
1359879867559477250,2021-02-11 15:00:00,"On June 11, 1966 the new WPL opened its doors at 35 Albert Street in @uptownwaterloo It was designed by architects… https://t.co/71fblVIzcV"
1359849675684253709,2021-02-11 13:00:02,"Isn't it nice to see that our friends at Lonely Planet are still there for us, continuing to offer excellent travel… https://t.co/mpjZpsPQJP"
1359653378637221888,2021-02-11 00:00:01,WPL blogger Penny D. was happy with the outcome of the American election but still wanted to know more about Presid… https://t.co/ii97CcIwXz
1359595029661167624,2021-02-10 20:08:09,@Heartofsong18 We agree and have fixed the indexing. Thank you.
1359581903452401665,2021-02-10 19:16:00,"https://t.co/sV3SrT4c88 is now #LinkedInLearning 

Access 20-70 new courses every week, courses available in severa… https://t.co/4YVwfafQli"
1359524022011056128,2021-02-10 15:26:00,I Read Canadian Day is one week away! Can you “Read Canadian” for 15 minutes and share your experience?… https://t.co/gcpx08Od2P
1359515810864193537,2021-02-10 14:53:22,"@renisoncollege We are also incredibly excited for this joint event, but everyone will have to wait just a bit long… https://t.co/cAItmrKBsd"
1359505640104873984,2021-02-10 14:12:57,RT @John_Orpheus: 😊Excited to to join @WaterlooLibrary and our friends from @BooksWordsWorth for an evening of discussion of my new book #S…
1359499242952343553,2021-02-10 13:47:32,@dacaldar @mcphersoncomm @TerryFallis @TerryFallis actually did answer most of those questions. We can tell you tha… https://t.co/vtUY5br8C1
1359488538723512324,2021-02-10 13:05:00,Enjoy a blind date with a book this February with our Surprise Me! Book Bundles. We'll gather 5 titles for you base… https://t.co/0RhCnp0q4k
1359290986418036738,2021-02-10 00:00:00,"In times of stress, like facing a pandemic perhaps, some people seek viewing matter that is more comforting and coz… https://t.co/44NIOWxsjd"
1359200389476753409,2021-02-09 18:00:00,"As our staycation lives continue, we are sharing photos of libraries from around the world that were visited by WPL… https://t.co/fe9cI2kt6T"
1359136468371861509,2021-02-09 13:46:00,It's the #monthoflove so why not take a deep dive into the science behind lasting relationships with… https://t.co/KrtvEiBzFc
1358878267193835528,2021-02-08 20:40:00,"Meet award-winning author @rukhsanabooks as she shares folktales, personal stories and a few picture books, includi… https://t.co/6L2rPE73aD"
1358839511732678659,2021-02-08 18:06:00,All good things don't have to come to an end with books and movies because you can always re-watch or re-read but y… https://t.co/wUcI7wM1Uw
1358780392095051781,2021-02-08 14:11:05,"Black voices matter. Take a look at our Diverse Voices lists of books, music and movies celebrating Black artists a… https://t.co/56Iqw2xjkN"
1358779761246535682,2021-02-08 14:08:34,@LovingDalston @WaterlooCCA You are correct that Chinese New Year is Feb 12. Feb 5 was a date that our partners… https://t.co/RmxXifEF16
1358566714271793164,2021-02-08 00:02:00,"As Cybil @goodreads says ""February is a great time to expand your reading lists to include more marginalized voices… https://t.co/mHS0S8uVqh"
1358494488235307017,2021-02-07 19:15:00,We love Schitt's Creek and the Rose family so we just had to take this quiz on @bookriot to discover which book to… https://t.co/x8KouyiRbP
1358443401515966467,2021-02-07 15:52:00,"Get cookin' this February with our #FoodieAfternoons 

Feb 10 at 4pm: Apple Crisp
Feb 17 at 4pm: Lasagna Soup

Lear… https://t.co/Z5iJHsBADV"
1358415215759667201,2021-02-07 14:00:00,"If you're looking for books that explore mental health, check out the CBC's list of 15 great Canadian reads includi… https://t.co/clrZMPWUgy"
1358206591145709569,2021-02-07 00:11:00,It has been 50 years since James Herriot’s first book was published. With the renewed interest in the Yorkshire vet… https://t.co/2zJdSt7A2Q
1358195349253455874,2021-02-06 23:26:19,"Winter fun! Browse books or order a book bundle, play one of our Play Anytime programs, register for a virtual prog… https://t.co/Yy57EyshOK"
1358104669579485184,2021-02-06 17:26:00,How much do you know about books that have been made into movies? Test your knowledge for a chance to win prizes in… https://t.co/hrci15Gxfm
1358051569586098176,2021-02-06 13:55:00,Help us celebrate #LibraryLoversMonth by telling us what you love most about the library. Fill out our online form… https://t.co/bgz4iJdDH2
1357803687339507713,2021-02-05 21:30:00,We are excited to welcome author &amp; activist @John_Orpheus to join us and our friends from @BooksWordsWorth for an e… https://t.co/XJcWVPzJGE
1357750845392232453,2021-02-05 18:00:01,Bestselling writer Jonathan Kellerman wants to know why crime fiction has such a hard time with mental health profe… https://t.co/lsvtuwUjKq
1357720972191793157,2021-02-05 16:01:19,Elimina Dubois is “…a modern heroine in an altered but all too recognizable reality who must find the strength with… https://t.co/1oqd2naBwI
1357691479515365377,2021-02-05 14:04:08,"Thanks for the chuckle, Ron! The Carnegie Library was in use until 1966. #funnyfriday #libraryhumour https://t.co/Gxe6KhHgij"
1357691010197905416,2021-02-05 14:02:16,RT @watershedwrite1: Thank you @waterlooLibrary for you ongoing support of local writers as featured on Watershed Writers with co hosts Tan…
1357683898579177473,2021-02-05 13:34:00,"We are going LIVE today at 2pm with our friends from @WaterlooCCA to celebrate #ChineseNewYear2021 with fun crafts,… https://t.co/02HpzalfUh"
1357423250716917761,2021-02-04 20:18:17,We could not be more excited! Can't wait to open our doors again to our customers - especially these new ones on th… https://t.co/nnRM8aDNw1
1357404808349630466,2021-02-04 19:05:00,My First Thriller. How writer Randy Wayne White went from guiding fishing clients to writing magazine columns to cr… https://t.co/cqdkUMDNpE
1357341893399576576,2021-02-04 14:55:00,"Waterloo Library was est. 1876. On Nov 1, 1905 the first purpose-built library in @citywaterloo opened on Albert St… https://t.co/Wr0kCAwKcX"
1357313708347645956,2021-02-04 13:03:00,Human zoo exhibits were popular in nineteenth-century Europe. The exhibits were documented in thousands of photogra… https://t.co/0RfxXxufJU
1357044936877756416,2021-02-03 19:15:00,The @cbcradio celebrates 30 years of Writers &amp; Company by sharing interviews of 5 inspiring people who changed how… https://t.co/bBP8FcTAvH
1357032969920217088,2021-02-03 18:27:27,"RT @citywaterloo: The City of Waterloo Arts and Culture team is now hiring for summer positions, including 2 seasonal Culture &amp; Events Assi…"
1357032883928641542,2021-02-03 18:27:06,RT @CreateWaterloo: Have you submitted your message of kindness to The Community Happiness Project yet? Help your community stay positive a…
1357027069486649344,2021-02-03 18:04:00,The Yellow Cedar nominees of the @ONLibraryAssoc Forest of Reading program inspires children to read in a new way.… https://t.co/UZKWk6jc22
1356991095599730688,2021-02-03 15:41:03,Thank you to everyone who joined us yesterday to celebrate #WorldWetlandsDay . It was a pleasure to work with every… https://t.co/ovXhFVy3iZ
1356958117322498048,2021-02-03 13:30:00,We are celebrating #BlackHistoryMonth History and recognizing the outstanding contributions made by the Black commu… https://t.co/bVCZERQyAC
1356704386555269129,2021-02-02 20:41:46,DYK: Hotspots and low-cost modems are available for @cscmonavenir @CSViamonde @WRDSB @WCDSB students who are findin… https://t.co/70wAd8arPG
1356680032496705545,2021-02-02 19:05:00,During this time of the staycation we continue to share photos of libraries visited by WPL staff on past vacations.… https://t.co/GKTNTaBuaL
1356647316640305152,2021-02-02 16:55:00,"Since it's actual #GroundhogDay and we've all basically been living Groundhog Day since last March, does that make… https://t.co/wTdpJlXnff"
1356616893143146498,2021-02-02 14:54:06,"Netflix has renewed Bridgerton with filming starting in the fall. So, what to do if you’ve already re-watched the s… https://t.co/vhnwqYoLkh"
1356595978954973188,2021-02-02 13:31:00,"We are celebrating #ChineseNewYear with 2 fun activities/events.

Our Play Anytime Chinese New Year Challenge is no… https://t.co/Tn2xypHasH"
1356434261545521152,2021-02-02 02:48:23,"RT @RegionWaterloo: Celebrate #BlackHistoryMonth by learning more about the contributions of African, Black, and Caribbean Canadians. Did y…"
1356434177575501824,2021-02-02 02:48:03,RT @DaveJaworsky: I attended a wonderful virtual event this weekend put on by the @CCAWR to launch #BlackHistoryMonth. My remarks for the c…
1356392638744850435,2021-02-02 00:03:00,The Writers' Trust of Canada is renaming their fiction prize in honour of Margaret Atwood and Graeme Gibson. Starti… https://t.co/83SWX00sUC
1356320161326903300,2021-02-01 19:15:00,"13 Moons, 13 Reads is a new online book club featuring video interviews with Indigenous authors, poets and illustra… https://t.co/vk4rGn9gkA"
1356292490761039874,2021-02-01 17:25:03,Happy #LibraryLoversMonth to all of our amazing customers and our wonderful community. We are celebrating all month… https://t.co/58FcFGIYDn
1356259763064098817,2021-02-01 15:15:00,"Attention mystery fans! The Mystery Writers of America's nominations for the 2021 Edgar Awards, one of the mystery… https://t.co/yLR3btLHSp"
1356029499960340486,2021-02-01 00:00:01,Do you love a YA book with a fast pace and intriguing mystery at its heart? @bookriot has compiled this list of 15… https://t.co/NxpPiiUx9k
1355980367719780352,2021-01-31 20:44:47,Was one of your 2021 resolutions to read more? Or maybe you're in a pandemic reading slump? @buzzfeed recently surv… https://t.co/1dA803CKBx
1355667108626124800,2021-01-31 00:00:00,Netflix’s The Dig is a lovely drama set in the late 1930s in England and is based on the novel by John Preston. How… https://t.co/havIBa3occ
1355591614320799745,2021-01-30 19:00:01,"Toni Morrison wrote books, short stories, plays, and essays that changed the literary world. Emily Martin shares 10… https://t.co/8RTQUoEF1k"
1355534987337097218,2021-01-30 15:15:00,Are you a James Herriot fan? Are you watching the remake of All Creatures Great and Small? @ArchDigest takes a look… https://t.co/YjRye8fT3y
1355504789061132290,2021-01-30 13:15:00,"Is your child creative, dramatic, imaginative? Then this is the club for them. Kids in Gr 4-6 can learn the basics… https://t.co/UbZHyRRlO7"
1355304721179836416,2021-01-30 00:00:00,What is it like to record a 29-hour audiobook with President Obama? Producer Dan Zitt shares his experience of reco… https://t.co/4MavOFeJnO
1355261434826018819,2021-01-29 21:08:00,Catch a killer from your couch. Put your detective skills to the test as you interrogate live suspects and examine… https://t.co/XnhYypd2eh
1355224583515856896,2021-01-29 18:41:34,So happy you enjoyed your #BookBundles Jen! Happy reading :-) https://t.co/0uFsD9cGcA
1355168833389158402,2021-01-29 15:00:02,"WPL blogger Nancy C. recently read  a book that, while perhaps not a page turner, was definitely a mind changer. Re… https://t.co/NkEQwObNPA"
1355162031708655616,2021-01-29 14:33:00,Hmmm. We recognize that building in @uptownwaterloo #publicart #kwawesome https://t.co/veV9kJJqkc
1355161815659982849,2021-01-29 14:32:09,"RT @CreateWaterloo: Join @Matthew_Morris for his snow sculpting club and Winterloo installations ! Details at https://t.co/mU6PrcAoys

@CTV…"
1355161574617608202,2021-01-29 14:31:11,RT @citywaterloo: Should backyard chickens be allowed in the City of Waterloo? What are your thoughts and/or concerns? Whether you're for i…
1354899801880498177,2021-01-28 21:11:00,@StatCan_eng is now hiring for the #2021Census. A variety of  opportunities both part-time and full-time are availa… https://t.co/TubYG9BxxN
1354891601932390411,2021-01-28 20:38:25,You can #BorrowtheInternet at the library! Place a hold on a WiFi hotspot today at: https://t.co/lrXENIR03N https://t.co/TTDtrGlJbt
